year_of_manufacture,manufacturer,model,mileage,body_type,transmission,drivetrain,exterior_colour,interior_colour,passengers,doors,fuel_type,price,city_consumption,highway_consumption,engine_displacement_L,engine_cylinders,engine_type
2016,Acura,MDX,193000.0,SUV,Automatic,4X4,white,black,7,4,gasoline,23995,12.7,9.1,2.4,6.0,Inline
2016,Acura,MDX,145000.0,SUV,Automatic,4X4,black,beige,7,4,gasoline,23999,12.7,9.1,2.4,6.0,V-Engine
2019,Acura,TLX,73340.0,Sedan,Automatic,4X4,blue,black,5,4,gasoline,26471,12.0,8.2,2.4,6.0,V-Engine
2018,Acura,ILX,37089.0,Sedan,Automatic,FWD,black,black,5,4,gasoline,26595,9.4,6.8,2.4,4.0,Inline
2018,Acura,TLX,106548.0,Sedan,Automatic,FWD,white,red,5,4,gasoline,28998,10.8,8.7,2.4,4.0,V-Engine
2017,Acura,MDX,163527.0,SUV,Automatic,4X4,black,black,5,4,gasoline,29780,12.6,9.0,3.5,4.0,Other
2018,Acura,RDX,76620.0,SUV,Automatic,4X4,silver,black,5,2,gasoline,29999,12.4,8.7,3.5,6.0,V-Engine
2019,Acura,ILX,40734.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,30989,9.9,7.0,2.4,4.0,Inline
2017,Acura,MDX,123240.0,SUV,Automatic,4X4,white,black,5,4,gasoline,32480,12.6,9.0,3.5,4.0,Other
2019,Acura,TLX,43150.0,Sedan,Automatic,FWD,white,black,5,4,gasoline,33495,10.2,7.4,2.4,4.0,Inline
2019,Acura,TLX,65339.0,Sedan,Automatic,4X4,black,black,5,4,gasoline,34995,11.7,7.949999999999999,3.5,6.0,V-Engine
2017,Acura,MDX,99000.0,SUV,Automatic,4X4,black,black,7,4,gasoline,35950,12.2,9.0,3.5,6.0,V-Engine
2020,Acura,ILX,30500.0,Sedan,Automatic,FWD,white,red,5,4,gasoline,35999,9.9,7.0,2.4,4.0,Other
